"response"	"v1"	"v2"	"v3"	"v4"	"v5"	"v6"	"v7"	"v8"	"v9"	"v10"	"v11"	"v12"	"v13"	"v14"	"v15"	"v16"	"v17"	"v18"	"v19"	"v20"	"v21"	"v22"	"v23"	"v24"	"v25"	"v26"	"v27"	"v28"	"v29"	"v30"	"v31"	"v32"	"v33"	"v34"	"v35"	"v36"	"v37"	"v38"	"v39"	"v40"	"v41"	"v42"	"v43"	"v44"	"v45"	"v46"	"v47"	"v48"	"v49"	"v50"	"v51"	"v52"	"v53"	"v54"	"v55"	"v56"	"v57"	"v58"	"v59"	"v60"	"v61"	"v62"	"v63"	"v64"	"v65"	"v66"	"v67"	"v68"	"v69"	"v70"	"v71"	"v72"	"v73"	"v74"	"v75"	"v76"	"v77"	"v78"	"v79"	"v80"	"v81"	"v82"	"v83"	"v84"	"v85"	"v86"	"v87"	"v88"	"v89"	"v90"	"v91"	"v92"	"v93"	"v94"	"v95"	"v96"	"v97"	"v98"	"v99"	"v100"	"v101"	"v102"	"v103"	"v104"	"v105"	"v106"	"v107"	"v108"	"v109"	"v110"	"v111"	"v112"	"v113"	"v114"	"v115"	"v116"	"v117"	"v118"	"v119"	"v120"	"v121"	"v122"	"v123"	"v124"	"v125"	"v126"	"v127"	"v128"	"v129"	"v130"	"v131"	"all.var.na.count"
"Class_0"	-999	-999	4	-999	-999	-999	-999	-999	-999	1.31290928907	-999	6.74628970711	-999	12.8723148805	-999	-999	-999	-999	-999	-999	8.02468401259	14913	-999	3	-999	-999	-999	-999	-999	1	2	-999	-999	6.39761801997	-999	-999	-999	0	-999	9.90594006494	-999	-999	-999	-999	-999	-999	9	-999	-999	0.716015628997	-999	7	-999	-999	-999	98	-999	-999	-999	-999	-999	1	-999	-999	-999	1	-999	-999	-999	-999	2	1	-999	2	2	-999	-999	-999	3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	8	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	4	-999	-999	1	-999	10	22	14.0311645462	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	39	-999	-999	-999	0	-999	-999	100
"Class_1"	1.83883609103	6.34459726657	4	3.57985240946	9.06307752659	2.92509671538	2.47071381542	3.30919507896	7.8100256295	1.72866614327	15.1310354005	6.88107998068	4.56232500048	11.8667078138	1.9175761928	3.57142954744	4.05640444089	0.80924497406	0.200109545706	17.9973003864	6.71710015422	12498	2.15150310946e-07	3	4.70935470235	2.6553064347	1.78203724382	6.02095291437	9.10188191147	4	2	1.57614500025	2.38551696939	4.90147050766	9.38587095318	14.8711135437	0.804597965227	0	0.132277013617	12.6901094615	7.7884270353	13.7593182574	2.81379255283	11.8927360396	10.3587988652	3.74729826142	3	12.0327814023	8.60489900453	1.18993483293	6.79798750383	8	15.1950069443	3.38116336961	1.74653941744	55	3.86936539909	10.6200863661	12.0246193785	2.47308057273	15.2910213026	1	4.58890282544	6.78085351173	15.8552806988	2	10.2946405934	18.9694329076	9.76190484732	13.8570644858	6	1	2.12643712552	2	4	2.52300576803	8.27831113164	14.6428581381	5	1.58311288994	7.48620268418	3.54326296492	2.61980914924	1.27795550084	2.82321900267	1.2566562202	10.4586171539	1.74653985776	5.10991273022	1.066843385	4	0.613424922217	5.44843903269	3.67709912004	0.696625791799	6.91515732569	10.919539721	4.96218155088	1.43178340739	8.83842802316	6.76887850477	4.05784979576	5.19742120954	2.9330376832	2.20910438809	12.6080865848	5	2.31765729435	3.7967760534	2	3.66347159431	7	1	11.8678707494	10.2380949367	2.96411940292	10.0592558318	11.7241371334	4.32164502517	0.908297189078	3.04455499782	6.22691359148	3.18917686169	3.28312744386	29	1.52720344195	1.94355643299	1.84427330197	0	1.93103401363	1.66666678141	0
"Class_1"	1.74051763868e-07	8.6449946072	4	5.68404061379	9.60313099911	2.74368181501	2.39711170931	1.44659708343	10.4024776006	2.60393909444	15.6090853729	7.40138226327	4.58692564845	12.6812771627	2.35336673584	3.33333277146	6.56208072784	0.918792853996	0.172864200547	18.8225225653	6.7189422806	15496	-3.67540703031e-07	5	2.40202053772	1.98555903931	2.44765357161	5.92046123723	9.97112002517	4	3	1.81949408259	1.03971195008	4.08216412247	7.53790634931	14.096577796	-3.47739055305e-07	0	0.0832172100967	14.8665070445	8.18772483921	13.4007230008	2.06469338878	14.0980497157	8.03721944157	1.85457613142	3	9.37965600675	8.67148086654	1.53033540203	5.58498687228	7	15.5684287841	1.72810136486	0.823105520694	92	4.07220287991	12.0461544692	12.0701174904	1.98555976026	16.4273003551	1	2.31676653011	10.2968112	17.7856407554	1	10.4909754443	19.4000000915	10.555555836	14.7733127851	2	3	2.40880988233	2	2	4.19975123606	9.41516319075	16.3888885597	2	0.743034559717	6.62703365116	3.38073516902	1.27797773111	0.519855051126	2.00260107133	1.68952984228	13.613667503	1.12635375599	2.61998269	0.885258450421	3	0.705081035104	8.01183494202	3.08183011155	0.736493557608	7.76173359946	9.03614410722	5.40242209782	1.9855587501	7.95384618223	8.23090973396	3.4670037461	4.11913012849	2.54207382561	1.13544891544	16.1721249887	3	2.43626572871	5.38357589913	2	1.4729247071	7	1	9.75319642027	9.44444395008	2.17233853723	11.7281467828	9.03614385124	0.0325997319246	0.538460708259	1.47377222878	9.65944310092	1.92771859452	1.76003597666	76	1.38839225117	3.79061378495	2.25152664752	2	0.867469171771	2.39506278805e-07	0
"Class_0"	-999	-999	4	-999	-999	-999	-999	-999	-999	0.787746977653	-999	6.42713748665	-999	11.1858197638	-999	-999	-999	-999	-999	-999	6.84288842505	7333	-999	5	-999	-999	-999	-999	-999	1	2	-999	-999	5.22233276385	-999	-999	-999	0	-999	11.2358014205	-999	-999	-999	-999	-999	-999	9	-999	-999	0.531141773235	-999	13	-999	-999	-999	52	-999	-999	-999	-999	-999	1	-999	-999	-999	1	-999	-999	-999	-999	6	1	-999	2	4	-999	-999	-999	3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	-999	-999	1	-999	9	1	12.8845421639	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	59	-999	-999	-999	0	-999	-999	100
"Class_1"	1.22448902449	5.98992513363	4	6.00368830887	9.37350665895	2.85714284132	2.44897996228	2.28884242358	7.91556677945	1.57549162015	15.3134150532	6.71737856729	3.0026717174	14.1986212464	1.4032809161	5.55555632276	5.27424436092	1.16262686911	0.171597970267	18.3340712576	9.1377589401	5403	9.03453650818e-07	5	2.81276332629	2.53814959197	2.71373348499	7.75069470694	8.51627106393	4	2	1.2410379461	1.78709386796	5.48257051047	7.95366819481	14.2606567449	0.540539876954	0	1.80195662892	11.6171037608	7.20904524729	12.3662434511	2.9408322671	11.8632784868	10.0763412365	2.58261125572	9	10.6434747479	7.82680603408	1.33225787054	4.79735016164	7	15.5569948079	1.75009371776	1.29067848845	101	4.47324862895	5.16717282109	12.8519570823	2.41680387188	15.7231033061	1	2.74535632345	8.68482289455	16.7573888667	1	9.4153331137	17.3130696445	9.62962883085	12.6520362978	6	1	1.83069743729	2	4	3.27695448543	7.11527946051	12.9629632778	3	2.37467094497	6.90708900722	3.34879002611	1.73745204967	1.48924498614	2.52390060461	0.860451605267	10.3315647544	3.11086656483	2.984582837	1.04755555179	7	0.573653360056	7.6498891606	3.12542564674	0.635435780982	6.62437853682	10.7657665687	7.00092377687	1.86063610889	14.8328274116	9.8276301331	3.51655510614	4.06566666583	2.2786460809	1.66408409207	14.7130876573	2	2.45756192002	5.11874732775	1	2.77992290042	12	5	12.8962962989	10.3703697454	3.09585392688	11.2935402826	11.3063061518	2.19957751574	1.00911786684	2.21987367081	5.48812649356	2.61101714191	0.667051257171	69	1.45611983512	3.42319298131	2.16235800059	0	1.45945901796	1.48148204924	0
"Class_1"	2.31346330687	5.99191738325	1	4.95916055296	9.80218672483	1.96748719221	2.26761060729	8.89475266057	9.86301421573	5.25164051768	14.9777111237	8.29252532986	4.47745065803	14.7544459376	2.09048120022	3.0167595978	5.41694430795	0.974626336257	0.192672642013	17.4098800276	8.48079161049	4309	-7.76057427335e-07	2	11.0950910608	2.94984019388	2.18424334813	5.12721805895	9.72071620889	1	1	1.80075125777	2.98457780704	6.44915784946	9.58732843219	13.4842537151	1.10294180003	0	0.721743672577	13.7884382094	8.403501808	14.2809502174	2.86775624037	11.201535512	6.92458164802	8.87522124322	4	11.3914982016	9.57899073563	4.4574858769	5.87209954837	13	14.9399650468	8.93532980891	2.35098004252	41	4.30179246312	18.9702691667	9.98316214169	2.72057810607	13.8005605024	0	10.492492108	8.11470900396	14.8932399865	1	11.2213415805	18.0275553151	10.5027938718	13.8605155194	6	0	2.22882632913	2	4	3.62781862306	8.7869950552	15.1955306903	16	1.84931603762	6.09428650093	3.16604744675	3.40141651457	1.35056340469	3.30677229997	1.46310944805	12.764827549	2.25093697356	11.4198317295	0.751571622504	3	0.729573041888	7.9468508562	3.24938314944	0.845171556637	7.26135842974	13.0882353363	5.19225145847	1.60483486666	0.261059468058	6.63633416771	11.3294692004	4.31420142201	2.65349236113	8.03310040018	12.6759444961	3	2.57598200702	7.02010798959	3	4.30179173423	7	1	12.3426144928	9.60893781941	3.05317312097	12.84466826	14.1911754913	3.93372949562	1.29079090421	3.55091333046	8.01369833535	2.04355763323	7.9992122184	28	1.47630353399	2.98561947367	2.61865356402	0	2.6323522035	1.67597693498	0
"Class_1"	-3.19423587161e-07	8.42235830673	4	4.52020892984	8.71553502068	2.70270276425	3.24324302058	0.00955242477875	7.14285631481	1.05032729029	16.9696973137	6.26201056435	2.25920795433	11.3545007534	0.925925359332	2.22222312954	3.40275287842	0.132871596515	0.162189163486	18.5928861552	6.78679845898	18251	2.76612802906e-07	5	0.160672105845	1.651651	3.51351387687	0.472525936208	8.10810907365	4	2	0.675675832865	1.62162166375	5.70610364426	9.00900944351	10.6127303343	-4.0756533646e-07	0	10.4730444795	10.7351136544	7.56756821503	12.6126118644	2.02020184224	10.0380018923	10.5331368616	0.118406507185	9	12.6076165322	8.10810849768	1.52593283607	6.57565899036	13	16.8888898017	0.0333663522394	1.08108182905	1	4.1441448354	0.212765004992	10.051197143	1.65165142697	15.3062996676	1	0.148245677043	5.91765377183	16.7167327697	1	8.9189196477	9.04255285153	8.88888978407	13.2338379096	2	1	1.05218888689	2	2	2.06635479964	7.02702764177	17.7777784201	3	1.42857202082	6.59952525447	8.62813875412	2.16216120636	0.540540934999	2.14793748383e-07	0.540539966999	12.4205734444	2.34234310572	0.0663496363471	1.0539642587	2	0.385327999692	5.62015647226	3.91213818682	0.427475204382	6.84684682139	5.55555564446	8.13454987362	1.15615679259	13.6170220626	6.95147396079	1.87394347612	5.23060170282	1.37480367376	0.0070297737969	11.8652190676	6	2.34840732791	5.90460614879	1	2.70270300639	18	19	13.6981665913	11.1111114814	2.22222221449	8.02538190376	5.55555477337	8.282401494e-07	1.27659654881	2.66666681077	5.71428481417	1.2497287415	0.0154934092601	27	1.76172467118	2.53378375226	2.51248793613	0	1.00000044645	-3.87101576924e-07	0
"Class_1"	-999	-999	4	-999	-999	-999	-999	-999	-999	0.371991115476	-999	6.0954135207	-999	10.7607974567	-999	-999	-999	-999	-999	-999	7.24152499421	10785	-999	4	-999	-999	-999	-999	-999	1	2	-999	-999	2.90867299715	-999	-999	-999	0	-999	14.475796757	-999	-999	-999	-999	-999	-999	3	-999	-999	0.604504297444	-999	13	-999	-999	-999	55	-999	-999	-999	-999	-999	1	-999	-999	-999	2	-999	-999	-999	-999	6	1	-999	2	4	-999	-999	-999	5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	5	-999	-999	2	-999	7	1	9.67561120634	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	72	-999	-999	-999	0	-999	-999	100
"Class_1"	1.07675488827	9.40675761149	4	3.92395112693	-999	2.40087308253	2.97562726748	-999	8.52367722336	1.57549303306	15.1898733447	6.12605017964	3.65652364915	13.0447377614	2.014936397	6.42335814278	4.55221726611	0.718779455642	0.193942625511	18.1176174748	8.15641041263	21077	-999	5	-999	2.01406522771	2.7937436187	5.87556214365	8.19934487843	4	2	1.66969727484	1.9934519168	6.96695689997	8.1338666368	-999	0.391197458634	0	0.510598846074	9.26995177361	6.9843575992	13.2484546738	2.38924127398	10.2230127497	11.3416092413	-999	9	11.2577403064	7.66824225139	2.97557051858	-999	13	15.5102036861	-999	1.33139242568	81	4.21971684269	1.86823990697	12.1825857756	1.9073605718	16.2332375322	1	-999	7.5581034017	16.3954360245	2	9.19607044188	18.7610623759	8.90510980764	-999	6	1	2.5217561753	2	4	2.83931849157	7.63914105521	12.4087586664	3	2.45125415979	-999	-999	1.8552201705	1.92069762376	-999	1.18952297603	-999	1.19316159389	-999	1.18599630326	8	0.434554685764	5.65791125425	4.2920399736	0.492160828068	6.35867506029	6.9926656711	-999	1.10706845976	18.0727624488	6.93498866248	-999	5.49127533895	2.84698389219	-999	13.7416903994	4	-999	-999	1	3.36122161909	7	5	15.2822296397	11.240875684	2.5377097862	-999	7.383863437	-999	0.766962386814	2.41935493645	6.07242283918	-999	-999	54	2.03921838313	1.43233915992	-999	0	1.33985342452	1.16788319239	25
"Class_1"	0.98013161819	9.25115555077	1	6.07884578604	10.6031381442	2.91390651605	2.42384160793	2.25856584197	7.91666594536	1.83807472098	15.2435166462	6.72859330409	3.97886132758	14.5287555658	1.76698537917	1.49999939183	9.81616452521	1.07569352203	0.144355576527	19.2401581065	9.12129036588	17304	-4.93427824769e-07	3	2.73717996846	2.95033020188	2.66887325786	6.454993238	9.68211984368	1	1	1.32119209383	1.58940420195	7.32535350155	8.58278095397	9.61040809103	0.437157648735	0	0.511773618828	8.96751246257	7.98013148284	12.9337748332	3.07400431935	14.8797400991	8.9849920444	2.41889537843	4	8.31752889408	8.27814576256	1.83698935222	2.34169532894	13	15.0889193649	2.86888139493	1.11258231445	41	3.55629175556	18.8699076556	13.6484048078	2.85320025847	14.4235143305	0	3.01577243573	13.1947765553	17.5178501897	3	10.4701984214	18.4756907277	9.3333328631	14.6848996538	2	0	1.75258353662	2	2	6.92405318168	7.93377439316	17.0000002698	10	0.535714520034	3.76746250162	4.05457635719	2.02648950349	0.357616721498	1.57753962769	1.23178752565	16.6578951158	3.73509889421	2.69235958778	0.860822073104	3	0.673270971023	10.8460552631	2.60225638142	0.725695940999	7.30463494474	12.8415303207	4.87500094999	2.03973491482	1.05124883612	11.6696794966	9.12055723912	3.69455546782	2.42548001176	2.99339465127	16.2837639836	3	3.62493796532	15.1114355356	3	2.50331164442	7	1	15.1067526091	10.5000006171	3.21477392793	15.78941797	13.2786881509	7.43504459791e-07	1.051247708	2.44799970144	7.38095330022	2.28007323559	2.02858400119	29	1.07920264873	3.7251659118	4.21297640962	0	1.31147610235	1.33333267324	0
